model,id,category,subcategory,punct_type,duration_s,rms_mean,f0_mean,f0_range,f0_voiced_frames,terminal_f0_slope,terminal_voiced,amplitude_decay_300ms,best_pause_ms,num_pauses,pause_durations_ms,internal_pause_durations_ms
chatterbox,s01,sentence_end,statement,period,1.42,0.069298,189.1,252.7,107,-43.681,38,-0.0001550793,180.0,2,"[180.0, 180.0]",[180.0]
chatterbox,s02,sentence_end,exclamation,exclamation,1.5,0.078742,174.2,549.3,120,-106.891,38,-0.0001372358,230.0,2,"[230.0, 180.0]",[230.0]
chatterbox,s03,sentence_end,question,question,1.46,0.090071,205.8,56.5,100,77.43,38,-0.0001704821,230.0,2,"[210.0, 230.0]",[210.0]
chatterbox,s04,sentence_end,statement,period,1.54,0.048621,161.8,220.1,96,23.372,26,-0.0001598719,230.0,5,"[230.0, 50.0, 50.0, 30.0, 150.0]","[230.0, 50.0, 50.0, 30.0]"
chatterbox,s05,sentence_end,exclamation,exclamation,1.66,0.061815,163.0,218.5,111,-195.234,36,-0.0001061947,190.0,6,"[180.0, 40.0, 30.0, 30.0, 60.0, 190.0]","[180.0, 40.0, 30.0, 30.0, 60.0]"
chatterbox,s06,sentence_end,question,question,1.78,0.043042,146.5,189.2,121,50.668,32,-0.0002593558,420.0,2,"[420.0, 80.0]",[420.0]
chatterbox,s07,sentence_end,statement,period,1.06,0.046885,173.6,81.8,60,-4.732,37,-0.0001193225,190.0,3,"[130.0, 160.0, 190.0]","[130.0, 160.0]"
chatterbox,s08,sentence_end,exclamation,exclamation,0.94,0.061219,175.2,40.6,60,-17.449,34,-0.0001909552,160.0,3,"[70.0, 140.0, 160.0]","[70.0, 140.0]"
chatterbox,s09,sentence_end,question,question,0.98,0.055818,177.9,35.8,60,52.433,36,-0.0002600659,170.0,3,"[90.0, 120.0, 170.0]","[90.0, 120.0]"
chatterbox,p01,pause_hierarchy,comma,comma,3.38,0.064087,176.0,350.0,243,-113.228,33,-0.0001443065,320.0,7,"[320.0, 40.0, 120.0, 60.0, 50.0, 80.0, 180.0]","[320.0, 40.0, 120.0, 60.0, 50.0, 80.0]"
chatterbox,p02,pause_hierarchy,em_dash,em_dash,3.74,0.067324,182.0,549.3,257,-48.434,35,-0.0001071339,380.0,11,"[380.0, 90.0, 30.0, 40.0, 190.0, 30.0, 60.0, 200.0, 70.0, 50.0, 210.0]","[380.0, 90.0, 30.0, 40.0, 190.0, 30.0, 60.0, 200.0, 70.0, 50.0]"
chatterbox,p03,pause_hierarchy,ellipsis,ellipsis,3.82,0.077594,177.1,200.5,249,-63.018,30,-0.00018209,340.0,12,"[340.0, 30.0, 40.0, 30.0, 50.0, 200.0, 50.0, 40.0, 40.0, 230.0, 110.0, 180.0]","[340.0, 30.0, 40.0, 30.0, 50.0, 200.0, 50.0, 40.0, 40.0, 230.0, 110.0]"
chatterbox,p04,pause_hierarchy,semicolon,semicolon,3.78,0.073009,175.2,193.4,235,-47.323,35,-0.0001229604,390.0,10,"[240.0, 30.0, 40.0, 390.0, 40.0, 60.0, 140.0, 70.0, 30.0, 160.0]","[240.0, 30.0, 40.0, 390.0, 40.0, 60.0, 140.0, 70.0, 30.0]"
chatterbox,p05,pause_hierarchy,comma,comma,4.5,0.08642,176.3,210.9,301,-3.336,28,-0.0001291996,440.0,15,"[440.0, 40.0, 100.0, 70.0, 330.0, 40.0, 60.0, 50.0, 140.0, 80.0, 50.0, 40.0, 30.0, 110.0, 210.0]","[440.0, 40.0, 100.0, 70.0, 330.0, 40.0, 60.0, 50.0, 140.0, 80.0, 50.0, 40.0, 30.0, 110.0]"
