id,model,voice,condition,target_id,prime_id,repetition,seed,text,output_relpath
chatterbox_noun_t01_r01,chatterbox,,noun,t01,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. You have absolutely no right to speak to me that way!",outputs/chatterbox/chatterbox_noun_t01_r01.wav
chatterbox_number_t01_r01,chatterbox,,number,t01,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. You have absolutely no right to speak to me that way!",outputs/chatterbox/chatterbox_number_t01_r01.wav
chatterbox_noun_t01_r02,chatterbox,,noun,t01,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. You have absolutely no right to speak to me that way!",outputs/chatterbox/chatterbox_noun_t01_r02.wav
chatterbox_number_t01_r02,chatterbox,,number,t01,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. You have absolutely no right to speak to me that way!",outputs/chatterbox/chatterbox_number_t01_r02.wav
chatterbox_noun_t02_r01,chatterbox,,noun,t02,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. I cannot believe you actually did that without telling me!",outputs/chatterbox/chatterbox_noun_t02_r01.wav
chatterbox_number_t02_r01,chatterbox,,number,t02,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. I cannot believe you actually did that without telling me!",outputs/chatterbox/chatterbox_number_t02_r01.wav
chatterbox_noun_t02_r02,chatterbox,,noun,t02,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. I cannot believe you actually did that without telling me!",outputs/chatterbox/chatterbox_noun_t02_r02.wav
chatterbox_number_t02_r02,chatterbox,,number,t02,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. I cannot believe you actually did that without telling me!",outputs/chatterbox/chatterbox_number_t02_r02.wav
chatterbox_noun_t03_r01,chatterbox,,noun,t03,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. Something is seriously wrong and I am genuinely terrified right now!",outputs/chatterbox/chatterbox_noun_t03_r01.wav
chatterbox_number_t03_r01,chatterbox,,number,t03,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. Something is seriously wrong and I am genuinely terrified right now!",outputs/chatterbox/chatterbox_number_t03_r01.wav
chatterbox_noun_t03_r02,chatterbox,,noun,t03,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. Something is seriously wrong and I am genuinely terrified right now!",outputs/chatterbox/chatterbox_noun_t03_r02.wav
chatterbox_number_t03_r02,chatterbox,,number,t03,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. Something is seriously wrong and I am genuinely terrified right now!",outputs/chatterbox/chatterbox_number_t03_r02.wav
chatterbox_noun_t04_r01,chatterbox,,noun,t04,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. I never thought you would actually leave and never look back!",outputs/chatterbox/chatterbox_noun_t04_r01.wav
chatterbox_number_t04_r01,chatterbox,,number,t04,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. I never thought you would actually leave and never look back!",outputs/chatterbox/chatterbox_number_t04_r01.wav
chatterbox_noun_t04_r02,chatterbox,,noun,t04,p02,2,1002,"Tunnel, feather, blanket, anchor, marble, bucket, forest, lantern, pocket, saddle, copper, barrel, cinder, tablet. I never thought you would actually leave and never look back!",outputs/chatterbox/chatterbox_noun_t04_r02.wav
chatterbox_number_t04_r02,chatterbox,,number,t04,p02,2,1002,"391, 5802, 47, 614, 2903, 71, 488, 13, 5560, 239, 84, 7421, 36, 905. I never thought you would actually leave and never look back!",outputs/chatterbox/chatterbox_number_t04_r02.wav
chatterbox_noun_t05_r01,chatterbox,,noun,t05,p01,1,1001,"Apple, bridge, window, carpet, ladder, pencil, bottle, hammer, candle, mirror, basket, pillow, river, curtain. This is honestly the most wonderful thing that has ever happened!",outputs/chatterbox/chatterbox_noun_t05_r01.wav
chatterbox_number_t05_r01,chatterbox,,number,t05,p01,1,1001,"847, 23, 5091, 312, 74, 6208, 19, 445, 1337, 88, 702, 56, 9143, 27. This is honestly the most wonderful thing that has ever happened!",outputs/chatterbox/chatterbox_number_t05_r01.wav
